candidate_cycle,day_of_week,s2s_cf_uri,s2s_pf_uri,s2s_cf_size,s2s_pf_size,s2s_complete,rzsm_lag_1d,rzsm_lag_7d,rzsm_lag_14d,rzsm_lags_all,rzsm_w1_target,rzsm_w2_target,rzsm_w3_target,rzsm_w4_target,rzsm_targets_all,era5_atmos_t0,audit_verdict,rejection_reason
2015-01-01,Thursday,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-01/s2s_cf_2015-01-01.grib,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-01/s2s_pf_2015-01-01.grib,12306,123060,True,False,False,False,False,True,True,True,True,True,True,REJECTED,RZSM antecedent lag missing (< 2015-01-01)
2015-01-04,Sunday,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-04/s2s_cf_2015-01-04.grib,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-04/s2s_pf_2015-01-04.grib,12306,123060,True,True,False,False,False,True,True,True,True,True,True,REJECTED,RZSM antecedent lag missing (< 2015-01-01)
2015-01-08,Thursday,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-08/s2s_cf_2015-01-08.grib,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-08/s2s_pf_2015-01-08.grib,12306,123060,True,True,True,False,False,True,True,True,True,True,True,REJECTED,RZSM antecedent lag missing (< 2015-01-01)
2015-01-11,Sunday,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-11/s2s_cf_2015-01-11.grib,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-11/s2s_pf_2015-01-11.grib,12306,123060,True,True,True,False,False,True,True,True,True,True,True,REJECTED,RZSM antecedent lag missing (< 2015-01-01)
2015-01-15,Thursday,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-15/s2s_cf_2015-01-15.grib,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-15/s2s_pf_2015-01-15.grib,12306,123060,True,True,True,True,True,True,True,True,True,True,True,VALID_CANDIDATE,
2015-01-16,Friday,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-16/s2s_cf_2015-01-16.grib,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-16/s2s_pf_2015-01-16.grib,12306,123060,True,True,True,True,True,True,True,True,True,True,True,VALID_CANDIDATE,
2015-01-18,Sunday,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-18/s2s_cf_2015-01-18.grib,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-18/s2s_pf_2015-01-18.grib,12306,123060,True,True,True,True,True,True,True,True,True,True,True,VALID_CANDIDATE,
2015-01-22,Thursday,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-22/s2s_cf_2015-01-22.grib,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-22/s2s_pf_2015-01-22.grib,12306,123060,True,True,True,True,True,True,True,True,True,True,True,VALID_CANDIDATE,
2015-01-25,Sunday,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-25/s2s_cf_2015-01-25.grib,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-25/s2s_pf_2015-01-25.grib,12306,123060,True,True,True,True,True,True,True,True,True,True,True,VALID_CANDIDATE,
2015-01-29,Thursday,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-29/s2s_cf_2015-01-29.grib,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-29/s2s_pf_2015-01-29.grib,12306,123060,True,True,True,True,True,True,True,True,True,True,True,VALID_CANDIDATE,
