case_id,ensemble_member,member_type,issue_time,s2s_hdate,model_version_date,split,source_grib_uri,rzsm_source_cube,lag_1d_date,lag_7d_date,lag_14d_date,target_w1_date,target_w2_date,target_w3_date,target_w4_date,preprocessing_version,grid_version,A0_contract_version,status,case_tensor_checksum
CASE_20150115_W01,0,CF,2015-01-15,2015-01-15,2024-01-15,TRAIN,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-15/s2s_cf_2015-01-15.grib,processed/rzsm/production/era5_land_rzsm_production_2015_2025.nc,2015-01-14,2015-01-08,2015-01-01,2015-01-21,2015-01-28,2015-02-04,2015-02-11,v1.0.0,Candidate_A_0.25deg_32x48,EX29_A0_11_12_5_6,VALID,39eb7d6a9faac2465fc85c420e660384855005192ad8f5c5824874541a370566
CASE_20150115_W01,1,PF,2015-01-15,2015-01-15,2024-01-15,TRAIN,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-15/s2s_pf_2015-01-15.grib,processed/rzsm/production/era5_land_rzsm_production_2015_2025.nc,2015-01-14,2015-01-08,2015-01-01,2015-01-21,2015-01-28,2015-02-04,2015-02-11,v1.0.0,Candidate_A_0.25deg_32x48,EX29_A0_11_12_5_6,VALID,39eb7d6a9faac2465fc85c420e660384855005192ad8f5c5824874541a370566
CASE_20150115_W01,2,PF,2015-01-15,2015-01-15,2024-01-15,TRAIN,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-15/s2s_pf_2015-01-15.grib,processed/rzsm/production/era5_land_rzsm_production_2015_2025.nc,2015-01-14,2015-01-08,2015-01-01,2015-01-21,2015-01-28,2015-02-04,2015-02-11,v1.0.0,Candidate_A_0.25deg_32x48,EX29_A0_11_12_5_6,VALID,39eb7d6a9faac2465fc85c420e660384855005192ad8f5c5824874541a370566
CASE_20150115_W01,3,PF,2015-01-15,2015-01-15,2024-01-15,TRAIN,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-15/s2s_pf_2015-01-15.grib,processed/rzsm/production/era5_land_rzsm_production_2015_2025.nc,2015-01-14,2015-01-08,2015-01-01,2015-01-21,2015-01-28,2015-02-04,2015-02-11,v1.0.0,Candidate_A_0.25deg_32x48,EX29_A0_11_12_5_6,VALID,39eb7d6a9faac2465fc85c420e660384855005192ad8f5c5824874541a370566
CASE_20150115_W01,4,PF,2015-01-15,2015-01-15,2024-01-15,TRAIN,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-15/s2s_pf_2015-01-15.grib,processed/rzsm/production/era5_land_rzsm_production_2015_2025.nc,2015-01-14,2015-01-08,2015-01-01,2015-01-21,2015-01-28,2015-02-04,2015-02-11,v1.0.0,Candidate_A_0.25deg_32x48,EX29_A0_11_12_5_6,VALID,39eb7d6a9faac2465fc85c420e660384855005192ad8f5c5824874541a370566
CASE_20150115_W01,5,PF,2015-01-15,2015-01-15,2024-01-15,TRAIN,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-15/s2s_pf_2015-01-15.grib,processed/rzsm/production/era5_land_rzsm_production_2015_2025.nc,2015-01-14,2015-01-08,2015-01-01,2015-01-21,2015-01-28,2015-02-04,2015-02-11,v1.0.0,Candidate_A_0.25deg_32x48,EX29_A0_11_12_5_6,VALID,39eb7d6a9faac2465fc85c420e660384855005192ad8f5c5824874541a370566
CASE_20150115_W01,6,PF,2015-01-15,2015-01-15,2024-01-15,TRAIN,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-15/s2s_pf_2015-01-15.grib,processed/rzsm/production/era5_land_rzsm_production_2015_2025.nc,2015-01-14,2015-01-08,2015-01-01,2015-01-21,2015-01-28,2015-02-04,2015-02-11,v1.0.0,Candidate_A_0.25deg_32x48,EX29_A0_11_12_5_6,VALID,39eb7d6a9faac2465fc85c420e660384855005192ad8f5c5824874541a370566
CASE_20150115_W01,7,PF,2015-01-15,2015-01-15,2024-01-15,TRAIN,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-15/s2s_pf_2015-01-15.grib,processed/rzsm/production/era5_land_rzsm_production_2015_2025.nc,2015-01-14,2015-01-08,2015-01-01,2015-01-21,2015-01-28,2015-02-04,2015-02-11,v1.0.0,Candidate_A_0.25deg_32x48,EX29_A0_11_12_5_6,VALID,39eb7d6a9faac2465fc85c420e660384855005192ad8f5c5824874541a370566
CASE_20150115_W01,8,PF,2015-01-15,2015-01-15,2024-01-15,TRAIN,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-15/s2s_pf_2015-01-15.grib,processed/rzsm/production/era5_land_rzsm_production_2015_2025.nc,2015-01-14,2015-01-08,2015-01-01,2015-01-21,2015-01-28,2015-02-04,2015-02-11,v1.0.0,Candidate_A_0.25deg_32x48,EX29_A0_11_12_5_6,VALID,39eb7d6a9faac2465fc85c420e660384855005192ad8f5c5824874541a370566
CASE_20150115_W01,9,PF,2015-01-15,2015-01-15,2024-01-15,TRAIN,gs://rise-unet-rzsm/raw/ecmwf_s2s/production/2015-01-15/s2s_pf_2015-01-15.grib,processed/rzsm/production/era5_land_rzsm_production_2015_2025.nc,2015-01-14,2015-01-08,2015-01-01,2015-01-21,2015-01-28,2015-02-04,2015-02-11,v1.0.0,Candidate_A_0.25deg_32x48,EX29_A0_11_12_5_6,VALID,39eb7d6a9faac2465fc85c420e660384855005192ad8f5c5824874541a370566
