case_id,cycle_index,issue_date,operational_run_date,operational_weekday,hindcast_weekday,split,lag_1d_date,lag_7d_date,lag_14d_date,target_w1_date,target_w2_date,target_w3_date,target_w4_date,antecedent_rzsm_available,future_target_rzsm_available,era5_atmospheric_available,s2s_available,usable_status,notes
CASE_20150101_0001,1,2015-01-01,2024-01-01,Monday,Thursday,TRAIN,2014-12-31,2014-12-25,2014-12-18,2015-01-07,2015-01-14,2015-01-21,2015-01-28,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150104_0002,2,2015-01-04,2024-01-04,Thursday,Sunday,TRAIN,2015-01-03,2014-12-28,2014-12-21,2015-01-10,2015-01-17,2015-01-24,2015-01-31,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150108_0003,3,2015-01-08,2024-01-08,Monday,Thursday,TRAIN,2015-01-07,2015-01-01,2014-12-25,2015-01-14,2015-01-21,2015-01-28,2015-02-04,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150111_0004,4,2015-01-11,2024-01-11,Thursday,Sunday,TRAIN,2015-01-10,2015-01-04,2014-12-28,2015-01-17,2015-01-24,2015-01-31,2015-02-07,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150115_0005,5,2015-01-15,2024-01-15,Monday,Thursday,TRAIN,2015-01-14,2015-01-08,2015-01-01,2015-01-21,2015-01-28,2015-02-04,2015-02-11,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150118_0006,6,2015-01-18,2024-01-18,Thursday,Sunday,TRAIN,2015-01-17,2015-01-11,2015-01-04,2015-01-24,2015-01-31,2015-02-07,2015-02-14,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150122_0007,7,2015-01-22,2024-01-22,Monday,Thursday,TRAIN,2015-01-21,2015-01-15,2015-01-08,2015-01-28,2015-02-04,2015-02-11,2015-02-18,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150125_0008,8,2015-01-25,2024-01-25,Thursday,Sunday,TRAIN,2015-01-24,2015-01-18,2015-01-11,2015-01-31,2015-02-07,2015-02-14,2015-02-21,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150129_0009,9,2015-01-29,2024-01-29,Monday,Thursday,TRAIN,2015-01-28,2015-01-22,2015-01-15,2015-02-04,2015-02-11,2015-02-18,2015-02-25,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150201_0010,10,2015-02-01,2024-02-01,Thursday,Sunday,TRAIN,2015-01-31,2015-01-25,2015-01-18,2015-02-07,2015-02-14,2015-02-21,2015-02-28,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150205_0011,11,2015-02-05,2024-02-05,Monday,Thursday,TRAIN,2015-02-04,2015-01-29,2015-01-22,2015-02-11,2015-02-18,2015-02-25,2015-03-04,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150208_0012,12,2015-02-08,2024-02-08,Thursday,Sunday,TRAIN,2015-02-07,2015-02-01,2015-01-25,2015-02-14,2015-02-21,2015-02-28,2015-03-07,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150212_0013,13,2015-02-12,2024-02-12,Monday,Thursday,TRAIN,2015-02-11,2015-02-05,2015-01-29,2015-02-18,2015-02-25,2015-03-04,2015-03-11,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150215_0014,14,2015-02-15,2024-02-15,Thursday,Sunday,TRAIN,2015-02-14,2015-02-08,2015-02-01,2015-02-21,2015-02-28,2015-03-07,2015-03-14,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150219_0015,15,2015-02-19,2024-02-19,Monday,Thursday,TRAIN,2015-02-18,2015-02-12,2015-02-05,2015-02-25,2015-03-04,2015-03-11,2015-03-18,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150222_0016,16,2015-02-22,2024-02-22,Thursday,Sunday,TRAIN,2015-02-21,2015-02-15,2015-02-08,2015-02-28,2015-03-07,2015-03-14,2015-03-21,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150226_0017,17,2015-02-26,2024-02-26,Monday,Thursday,TRAIN,2015-02-25,2015-02-19,2015-02-12,2015-03-04,2015-03-11,2015-03-18,2015-03-25,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150228_0018,18,2015-02-28,2024-02-29,Thursday,Saturday,TRAIN,2015-02-27,2015-02-21,2015-02-14,2015-03-06,2015-03-13,2015-03-20,2015-03-27,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150304_0019,19,2015-03-04,2024-03-04,Monday,Wednesday,TRAIN,2015-03-03,2015-02-25,2015-02-18,2015-03-10,2015-03-17,2015-03-24,2015-03-31,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150307_0020,20,2015-03-07,2024-03-07,Thursday,Saturday,TRAIN,2015-03-06,2015-02-28,2015-02-21,2015-03-13,2015-03-20,2015-03-27,2015-04-03,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150311_0021,21,2015-03-11,2024-03-11,Monday,Wednesday,TRAIN,2015-03-10,2015-03-04,2015-02-25,2015-03-17,2015-03-24,2015-03-31,2015-04-07,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150314_0022,22,2015-03-14,2024-03-14,Thursday,Saturday,TRAIN,2015-03-13,2015-03-07,2015-02-28,2015-03-20,2015-03-27,2015-04-03,2015-04-10,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150318_0023,23,2015-03-18,2024-03-18,Monday,Wednesday,TRAIN,2015-03-17,2015-03-11,2015-03-04,2015-03-24,2015-03-31,2015-04-07,2015-04-14,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150321_0024,24,2015-03-21,2024-03-21,Thursday,Saturday,TRAIN,2015-03-20,2015-03-14,2015-03-07,2015-03-27,2015-04-03,2015-04-10,2015-04-17,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150325_0025,25,2015-03-25,2024-03-25,Monday,Wednesday,TRAIN,2015-03-24,2015-03-18,2015-03-11,2015-03-31,2015-04-07,2015-04-14,2015-04-21,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150328_0026,26,2015-03-28,2024-03-28,Thursday,Saturday,TRAIN,2015-03-27,2015-03-21,2015-03-14,2015-04-03,2015-04-10,2015-04-17,2015-04-24,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150401_0027,27,2015-04-01,2024-04-01,Monday,Wednesday,TRAIN,2015-03-31,2015-03-25,2015-03-18,2015-04-07,2015-04-14,2015-04-21,2015-04-28,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150404_0028,28,2015-04-04,2024-04-04,Thursday,Saturday,TRAIN,2015-04-03,2015-03-28,2015-03-21,2015-04-10,2015-04-17,2015-04-24,2015-05-01,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150408_0029,29,2015-04-08,2024-04-08,Monday,Wednesday,TRAIN,2015-04-07,2015-04-01,2015-03-25,2015-04-14,2015-04-21,2015-04-28,2015-05-05,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150411_0030,30,2015-04-11,2024-04-11,Thursday,Saturday,TRAIN,2015-04-10,2015-04-04,2015-03-28,2015-04-17,2015-04-24,2015-05-01,2015-05-08,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150415_0031,31,2015-04-15,2024-04-15,Monday,Wednesday,TRAIN,2015-04-14,2015-04-08,2015-04-01,2015-04-21,2015-04-28,2015-05-05,2015-05-12,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150418_0032,32,2015-04-18,2024-04-18,Thursday,Saturday,TRAIN,2015-04-17,2015-04-11,2015-04-04,2015-04-24,2015-05-01,2015-05-08,2015-05-15,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150422_0033,33,2015-04-22,2024-04-22,Monday,Wednesday,TRAIN,2015-04-21,2015-04-15,2015-04-08,2015-04-28,2015-05-05,2015-05-12,2015-05-19,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150425_0034,34,2015-04-25,2024-04-25,Thursday,Saturday,TRAIN,2015-04-24,2015-04-18,2015-04-11,2015-05-01,2015-05-08,2015-05-15,2015-05-22,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150429_0035,35,2015-04-29,2024-04-29,Monday,Wednesday,TRAIN,2015-04-28,2015-04-22,2015-04-15,2015-05-05,2015-05-12,2015-05-19,2015-05-26,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150502_0036,36,2015-05-02,2024-05-02,Thursday,Saturday,TRAIN,2015-05-01,2015-04-25,2015-04-18,2015-05-08,2015-05-15,2015-05-22,2015-05-29,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150506_0037,37,2015-05-06,2024-05-06,Monday,Wednesday,TRAIN,2015-05-05,2015-04-29,2015-04-22,2015-05-12,2015-05-19,2015-05-26,2015-06-02,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
CASE_20150509_0038,38,2015-05-09,2024-05-09,Thursday,Saturday,TRAIN,2015-05-08,2015-05-02,2015-04-25,2015-05-15,2015-05-22,2015-05-29,2015-06-05,True,True,True,True,USABLE_READY,All 4 data components verified and available in GCS lake
