case_id,issue_date,split,category,status,reason,ecmwf_mars_error
CASE_20150101_0001,2015-01-01,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150104_0002,2015-01-04,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150108_0003,2015-01-08,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150111_0004,2015-01-11,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150115_0005,2015-01-15,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150118_0006,2015-01-18,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150122_0007,2015-01-22,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150125_0008,2015-01-25,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150129_0009,2015-01-29,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150201_0010,2015-02-01,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150205_0011,2015-02-05,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150208_0012,2015-02-08,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150212_0013,2015-02-12,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150215_0014,2015-02-15,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150219_0015,2015-02-19,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150222_0016,2015-02-22,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150226_0017,2015-02-26,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150228_0018,2015-02-28,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150304_0019,2015-03-04,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150307_0020,2015-03-07,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150311_0021,2015-03-11,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150314_0022,2015-03-14,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150318_0023,2015-03-18,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150321_0024,2015-03-21,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150325_0025,2015-03-25,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150328_0026,2015-03-28,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150401_0027,2015-04-01,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150404_0028,2015-04-04,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150408_0029,2015-04-08,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150411_0030,2015-04-11,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150415_0031,2015-04-15,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150418_0032,2015-04-18,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150422_0033,2015-04-22,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150425_0034,2015-04-25,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150429_0035,2015-04-29,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150502_0036,2015-05-02,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150506_0037,2015-05-06,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150509_0038,2015-05-09,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150513_0039,2015-05-13,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150516_0040,2015-05-16,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150520_0041,2015-05-20,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150523_0042,2015-05-23,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150527_0043,2015-05-27,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
CASE_20150530_0044,2015-05-30,TRAIN,USABLE_AVAILABLE,USABLE_AVAILABLE,"Verified complete across all 4 input streams (RZSM lags, ERA5 atm, S2S CF/PF GRIBs, Ground Truth)",NONE
